iter	RMSE
300	0.6478989837
301	0.6478679759
302	0.6478403882
303	0.6478054177
304	0.6477905897
305	0.64777348
306	0.6477300258
307	0.6477061559
308	0.6476491574
309	0.6476191494
310	0.6475828538
311	0.64755379
312	0.6475344995
313	0.6475226579
314	0.6474827827
315	0.6474490849
316	0.6474267335
317	0.6474049844
318	0.647396586
319	0.6473710672
320	0.6473564661
321	0.6473317425
322	0.6473201988
323	0.6472813449
324	0.6472371468
325	0.6472249767
326	0.6471908562
327	0.6471652215
328	0.6471266815
329	0.6471108253
330	0.6470829468
331	0.6470627805
332	0.6470345552
333	0.6470215194
334	0.6470040446
335	0.6469848886
336	0.6469683178
337	0.6469524362
338	0.6469242061
339	0.6468906947
340	0.6468697465
341	0.6468464915
342	0.6468154548
343	0.6467955387
344	0.646775579
345	0.6467314541
346	0.6467203093
347	0.6467032359
348	0.6466726019
349	0.6466444889
350	0.6466118255
351	0.6465894883
352	0.6465653607
353	0.6465499221
354	0.6465292863
355	0.6465111728
356	0.6464983853
357	0.6464864816
358	0.6464739308
359	0.646467224
360	0.6464296128
361	0.646413416
362	0.646399656
363	0.6463818409
364	0.646368339
365	0.6463437071
366	0.6463275081
367	0.646306175
368	0.6462684897
369	0.6462367565
370	0.6462051942
371	0.6461897901
372	0.6461691212
373	0.6461430792
374	0.6461186976
375	0.6460983717
376	0.6460621417
377	0.6460444468
378	0.6460379945
379	0.6460195004
380	0.645981712
381	0.6459526841
382	0.6459319861
383	0.6459269787
384	0.6459076397
385	0.6458741619
386	0.6458482375
387	0.6458379624
388	0.6458112811
389	0.6457838214
390	0.6457607216
391	0.6457514382
392	0.6457417446
393	0.6457349438
394	0.6457069843
395	0.645688416
396	0.6456600442
397	0.6456558553
398	0.6456356012
399	0.6456143747
400	0.6455991724
401	0.6455814216
402	0.6455780096
403	0.645561014
404	0.645534278
405	0.6455282741
406	0.645500716
407	0.645481429
408	0.6454705865
409	0.6454381444
410	0.6454205188
411	0.6453970171
412	0.6453830194
413	0.6453653922
414	0.6453616118
415	0.6453472029
416	0.645310261
417	0.6452866905
418	0.6452704434
419	0.6452574368
420	0.6452323303
421	0.6452258699
422	0.6452159955
423	0.645190909
424	0.6451613485
425	0.6451398471
426	0.6451202467
427	0.6451017263
428	0.645087787
429	0.6450629117
430	0.6450532509
431	0.6450108886
432	0.6449966015
433	0.6449872207
434	0.6449571753
435	0.6449477075
436	0.6449196923
437	0.6448948753
438	0.6448579291
439	0.6448411091
440	0.6448084408
441	0.6447778681
442	0.6447663003
443	0.6447410017
444	0.6447108583
445	0.6446968457
446	0.6446808649
447	0.6446633266
448	0.6446450094
449	0.6446389539
450	0.6446094762
451	0.644595721
452	0.6445812084
453	0.6445675823
454	0.6445403292
455	0.6445312013
456	0.6445191532
457	0.6444970464
458	0.6444801088
459	0.6444720617
460	0.6444479846
461	0.6444443286
462	0.6444342908
463	0.6444119863
464	0.6443929047
465	0.6443754235
466	0.644367678
467	0.6443394644
468	0.6443137812
469	0.6442854788
470	0.6442815189
471	0.6442581272
472	0.6442562879
473	0.644253756
474	0.6442489737
475	0.6442428064
476	0.6442143926
477	0.6441978371
478	0.6441898081
479	0.6441782514
480	0.6441562194
481	0.6441008981
482	0.6440895778
483	0.6440798159
484	0.644044165
485	0.6440237087
486	0.6440104171
487	0.6440016065
488	0.6439868207
489	0.6439830972
490	0.6439774685
491	0.6439637863
492	0.643940513
493	0.6439360747
494	0.643911458
495	0.643905439
496	0.643882813
497	0.6438763174
498	0.6438634559
499	0.6438379919
500	0.6438243068
501	0.6438158617
502	0.6438001838
503	0.6437872774
504	0.6437807376
505	0.6437371654
506	0.6437272465
507	0.6436944133
508	0.6436665601
509	0.643664914
510	0.64364672
511	0.6436247131
512	0.6436002578
513	0.6435788775
514	0.6435585797
515	0.6435545071
516	0.6435387579
517	0.643533472
518	0.6435261929
519	0.6435060884
520	0.6434938261
521	0.6434749772
522	0.6434608727
523	0.6434552828
524	0.6434450129
525	0.6434277443
526	0.6434075717
527	0.6433917973
528	0.6433713202
529	0.6433549598
530	0.6433384689
531	0.643325965
532	0.6433152812
533	0.6433109687
534	0.6433020184
535	0.6432887336
536	0.643279718
537	0.6432570268
538	0.6432399482
539	0.643232254
540	0.6432239095
541	0.6432091492
542	0.6431946271
543	0.6431845047
544	0.6431812967
545	0.6431697218
546	0.6431576482
547	0.6431404152
548	0.6431218812
549	0.6431152478
550	0.6430902094
551	0.6430796735
552	0.643060574
553	0.6430204437
554	0.6430149584
555	0.6429987624
556	0.6429900245
557	0.6429720282
558	0.6429678218
559	0.6429379205
560	0.6429243897
561	0.6429179711
562	0.6429153473
563	0.6429054374
564	0.6428883928
565	0.6428811281
566	0.6428755766
567	0.6428672708
568	0.6428345239
569	0.6428156773
570	0.642793577
571	0.64278835
572	0.6427804552
573	0.6427655112
574	0.6427585054
575	0.6427538421
576	0.6427473785
577	0.6427435176
578	0.6427214581
579	0.6427112198
580	0.6426928903
581	0.6426789422
582	0.6426695709
583	0.6426673149
584	0.6426598308
585	0.6426487021
586	0.6426242313
587	0.6426231032
588	0.6426044023
589	0.6425841822
590	0.6425728786
591	0.6425632455
592	0.6425535254
593	0.6425480361
594	0.6425402902
595	0.6425359074
596	0.642527185
597	0.6425249935
598	0.6425145134
599	0.6425093493
600	0.6424978057
601	0.6424941169
602	0.6424849817
603	0.6424781464
604	0.6424701393
605	0.6424547758
